pkg_name,heart_beat_count,time_offset,binning_data,max,heart_rate,comment,start_time,deviceuuid,custom,end_time,datauuid,create_time,update_time,min
com.sec.android.app.shealth,1,32400000,,83,83,,2021. 08. 07. ?¤í›„ 9:53:38,S57Vl7iz6H,,2021. 08. 07. ?¤í›„ 9:53:38,93443c13-40ba-6fca-d852-57deb7fc54a8,2021. 08. 07. ?¤í›„ 9:53:38,2021. 08. 07. ?¤í›„ 9:53:38,83
com.sec.android.app.shealth,1,32400000,,85,85,,2021. 08. 07. ?¤í›„ 10:00:59,S57Vl7iz6H,,2021. 08. 07. ?¤í›„ 10:00:59,24525011-4769-3cf5-836e-8460a7d63552,2021. 08. 07. ?¤í›„ 10:00:59,2021. 08. 07. ?¤í›„ 10:00:59,83
com.sec.android.app.shealth,1,32400000,,86,86,,2021. 08. 07. ?¤í›„ 10:30:59,S57Vl7iz6H,,2021. 08. 07. ?¤í›„ 10:30:59,371cd36d-6449-6148-3f1e-e3f5cc36ade0,2021. 08. 07. ?¤í›„ 10:30:59,2021. 08. 07. ?¤í›„ 10:30:59,83
com.sec.android.app.shealth,1,32400000,,130,83,,2021. 08. 07. ?¤í›„ 11:00:59,S57Vl7iz6H,,2021. 08. 07. ?¤í›„ 11:00:59,2a31616a-6aa9-2cc1-067e-87ab54d449fe,2021. 08. 07. ?¤í›„ 11:00:59,2021. 08. 07. ?¤í›„ 11:00:59,83
com.sec.android.app.shealth,1,32400000,,130,73,,2021. 08. 07. ?¤í›„ 11:30:59,S57Vl7iz6H,,2021. 08. 07. ?¤í›„ 11:30:59,6ef0744d-5550-2441-6b9d-c7601cfe56ad,2021. 08. 07. ?¤í›„ 11:30:59,2021. 08. 07. ?¤í›„ 11:30:59,73
com.sec.android.app.shealth,1,32400000,,77,77,,2021. 08. 08. ?¤ì „ 12:00:59,S57Vl7iz6H,,2021. 08. 08. ?¤ì „ 12:00:59,00d43c7a-848e-44d1-b6a2-e0fb90704c3e,2021. 08. 08. ?¤ì „ 12:00:59,2021. 08. 08. ?¤ì „ 12:00:59,77
com.sec.android.app.shealth,1,32400000,,77,73,,2021. 08. 08. ?¤ì „ 12:30:59,S57Vl7iz6H,,2021. 08. 08. ?¤ì „ 12:30:59,f61f5785-295c-22b4-e402-4921edbb09db,2021. 08. 08. ?¤ì „ 12:30:59,2021. 08. 08. ?¤ì „ 12:30:59,73
com.sec.android.app.shealth,1,32400000,,77,77,,2021. 08. 08. ?¤ì „ 1:30:59,S57Vl7iz6H,,2021. 08. 08. ?¤ì „ 1:30:59,c595d7d4-8b83-eeb3-1909-307a80f20977,2021. 08. 08. ?¤ì „ 1:30:59,2021. 08. 08. ?¤ì „ 1:30:59,73
com.sec.android.app.shealth,1,32400000,,77,67,,2021. 08. 08. ?¤ì „ 2:00:59,S57Vl7iz6H,,2021. 08. 08. ?¤ì „ 2:00:59,9f3e1a05-cfc3-8b84-c67c-a33e9c98484d,2021. 08. 08. ?¤ì „ 2:00:59,2021. 08. 08. ?¤ì „ 2:00:59,67
com.sec.android.app.shealth,1,32400000,,77,68,,2021. 08. 08. ?¤ì „ 2:30:59,S57Vl7iz6H,,2021. 08. 08. ?¤ì „ 2:30:59,511ceea5-ba8c-d316-2c66-11b6b523a5da,2021. 08. 08. ?¤ì „ 2:30:59,2021. 08. 08. ?¤ì „ 2:30:59,67
